#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.19455192	0.0	0.0	1.80466724837e-17
3300.3945354	0.0	0.0	1.71696313793e-17
3300.59451887	0.0	0.0	1.7417520009e-17
3300.79450235	0.0	0.0	1.73041541602e-17
3300.99448582	0.0	0.0	1.67740859909e-17
3301.1944693	0.0	0.0	1.71114407699e-17
3301.39445277	0.0	0.0	1.62146542753e-17
3301.59443625	0.0	0.0	1.57679911371e-17
3301.79441972	0.0	0.0	1.60675093852e-17
3301.9944032	0.0	0.0	1.47024551626e-17
3302.19438667	0.0	0.0	1.49988434862e-17
3302.39437015	0.0	0.0	1.70302808187e-17
3302.59435362	0.0	0.0	1.62669511212e-17
3302.7943371	0.0	0.0	1.52684561122e-17
3302.99532049	0.0	0.0	1.67161035293e-17
3303.19530397	0.0	0.0	1.79536624946e-17
3303.39528744	0.0	0.0	1.76774025107e-17
3303.59527092	0.0	0.0	1.66512994231e-17
3303.79525439	0.0	0.0	1.67523690416e-17
3303.99523787	0.0	0.0	1.55123467188e-17
3304.19522134	0.0	0.0	1.56120553728e-17
3304.39520482	0.0	0.0	1.50935557031e-17
3304.59518829	0.0	0.0	1.59315250074e-17
3304.79517177	-5.10028244979e-20	-5.10028244979e-20	1.57913034861e-17
3304.99515525	-3.06548001957e-19	-3.06548001957e-19	1.54931436257e-17
3305.19513872	-3.06548001957e-19	-3.06548001957e-19	1.57433014124e-17
3305.3951222	-1.12434527079e-18	-1.12434527079e-18	1.5329287478e-17
3305.59510567	-1.12434527079e-18	-1.12434527079e-18	1.56432921232e-17
3305.79508915	-3.06548001957e-19	-3.06548001957e-19	1.65886115587e-17
3305.99507262	-5.10028244979e-20	-5.10028244979e-20	1.72991131498e-17
3306.1950561	-5.10028244979e-20	-5.10028244979e-20	1.74804644401e-17
3306.39503957	-3.06548001957e-19	-3.06548001957e-19	1.7463129684e-17
3306.59502305	-3.06548001957e-19	-3.06548001957e-19	1.70035785144e-17
3306.79500653	-3.06548001957e-19	-3.06548001957e-19	1.59217487764e-17
3306.99499	-8.4612246127e-19	-8.4612246127e-19	1.55457186299e-17
3307.19497348	-3.06548001957e-19	-3.06548001957e-19	1.5399723856e-17
3307.39495695	-5.10028244979e-20	-5.10028244979e-20	1.68780682805e-17
3307.59494043	-5.10028244979e-20	-5.10028244979e-20	1.63074519831e-17
3307.7949239	-5.10028244979e-20	-5.10028244979e-20	1.63126905341e-17
3307.99490738	-5.10028244979e-20	-5.10028244979e-20	1.61250831257e-17
3308.19489085	4.43644287238e-19	4.43644287238e-19	1.67445611624e-17
3308.39487433	4.43644287238e-19	4.43644287238e-19	1.56769408568e-17
3308.59485781	4.43644287238e-19	4.43644287238e-19	1.57904771262e-17
3308.7958412	-5.10028244979e-20	-5.10028244979e-20	1.57274569358e-17
3308.99582468	-8.4612246127e-19	-8.4612246127e-19	1.5337716323e-17
3309.19580815	-8.4612246127e-19	-8.4612246127e-19	1.51067216492e-17
3309.39579163	-5.10028244979e-20	-5.10028244979e-20	1.57346890778e-17
3309.5957751	-5.10028244979e-20	-5.10028244979e-20	1.55463259514e-17
3309.79575858	-5.10028244979e-20	-5.10028244979e-20	1.57335466213e-17
3309.99574205	-8.4612246127e-19	-8.4612246127e-19	1.6533956897e-17
3310.19572553	-8.4612246127e-19	-8.4612246127e-19	1.76839853538e-17
3310.39570901	-8.4612246127e-19	-8.4612246127e-19	1.63717468032e-17
3310.59569248	-5.10028244979e-20	-5.10028244979e-20	1.68315504e-17
3310.79567596	4.94521256234e-19	4.94521256234e-19	1.69138150074e-17
3310.99565943	-5.10028244979e-20	-5.10028244979e-20	1.65023535217e-17
3311.19564291	-8.4612246127e-19	-8.4612246127e-19	1.57973933059e-17
3311.39562639	-8.4612246127e-19	-8.4612246127e-19	1.6728052835e-17
3311.59560986	-8.4612246127e-19	-8.4612246127e-19	1.76658265627e-17
3311.79559334	-9.24028052073e-19	-9.24028052073e-19	1.64299214939e-17
3311.99557681	-8.4612246127e-19	-8.4612246127e-19	1.5987302785e-17
3312.19556029	4.62723408084e-19	4.62723408084e-19	1.72894121743e-17
3312.39554377	4.62723408084e-19	4.62723408084e-19	1.70063664255e-17
3312.59552724	-8.4612246127e-19	-8.4612246127e-19	1.64543193171e-17
3312.79551072	-8.4612246127e-19	-8.4612246127e-19	1.7018809579e-17
3312.9954942	4.62723408084e-19	4.62723408084e-19	1.63733425939e-17
3313.19547767	5.86158043027e-19	5.86158043027e-19	1.68150838389e-17
3313.39546115	4.62723408084e-19	4.62723408084e-19	1.70152650814e-17
3313.59544462	5.86158043027e-19	5.86158043027e-19	1.62758285045e-17
3313.7954281	5.86158043027e-19	5.86158043027e-19	1.55001998678e-17
3313.99541158	5.86158043027e-19	5.86158043027e-19	1.65668282071e-17
3314.19539505	1.15990092519e-18	1.15990092519e-18	1.63984341625e-17
3314.39537853	1.17391967904e-18	1.17391967904e-18	1.76144255938e-17
3314.59536201	1.17391967904e-18	1.17391967904e-18	1.71136214856e-17
3314.7963454	1.17391967904e-18	1.17391967904e-18	1.71694389327e-17
3314.99632888	2.85672632078e-18	2.85672632078e-18	1.59588312625e-17
3315.19631235	2.85672632078e-18	2.85672632078e-18	1.55325990342e-17
3315.39629583	1.17391967904e-18	1.17391967904e-18	1.63080892966e-17
3315.59627931	1.17391967904e-18	1.17391967904e-18	1.6263724074e-17
3315.79626278	2.85672632078e-18	2.85672632078e-18	1.65549226138e-17
3315.99624626	1.17391967904e-18	1.17391967904e-18	1.64192351352e-17
3316.19622973	1.17391967904e-18	1.17391967904e-18	1.65866244188e-17
3316.39621321	2.85672632078e-18	2.85672632078e-18	1.63972771496e-17
3316.59619669	2.85672632078e-18	2.85672632078e-18	1.70009323539e-17
3316.79618016	1.4615156184e-18	1.4615156184e-18	1.67405149513e-17
3316.99616364	2.85672632078e-18	2.85672632078e-18	1.7417710368e-17
3317.19614712	2.85672632078e-18	2.85672632078e-18	1.72862155635e-17
3317.39613059	1.4615156184e-18	1.4615156184e-18	1.57744741334e-17
3317.59611407	1.4615156184e-18	1.4615156184e-18	1.6590746404e-17
3317.79609755	2.85672632078e-18	2.85672632078e-18	1.6491794879e-17
3317.99608102	1.4615156184e-18	1.4615156184e-18	1.57467400779e-17
3318.1960645	1.4615156184e-18	1.4615156184e-18	1.7512787416e-17
3318.39604798	1.4615156184e-18	1.4615156184e-18	1.61478186724e-17
3318.59603145	1.4615156184e-18	1.4615156184e-18	1.75739161896e-17
3318.79601493	1.4615156184e-18	1.4615156184e-18	1.77626183048e-17
3318.99599841	1.4615156184e-18	1.4615156184e-18	1.80948003894e-17
3319.19598188	1.4615156184e-18	1.4615156184e-18	1.84108041155e-17
3319.39596536	1.4615156184e-18	1.4615156184e-18	1.78054310512e-17
3319.59594884	1.4615156184e-18	1.4615156184e-18	1.68461170957e-17
3319.79593232	2.10822300976e-18	2.10822300976e-18	1.6362774095e-17
3319.99591579	2.10822300976e-18	2.10822300976e-18	1.67854538601e-17
3320.19589927	2.85672632078e-18	2.85672632078e-18	1.6336122889e-17
3320.39588275	3.99000222124e-18	3.99000222124e-18	1.67880388658e-17
3320.59686614	2.85672632078e-18	2.85672632078e-18	1.61339831775e-17
3320.79684962	2.10822300976e-18	2.10822300976e-18	1.72656896912e-17
3320.99683309	1.4615156184e-18	1.4615156184e-18	1.52597910847e-17
3321.19681657	2.10822300976e-18	2.10822300976e-18	1.62318180452e-17
3321.39680005	2.10822300976e-18	2.10822300976e-18	1.70879432613e-17
3321.59678353	2.10822300976e-18	2.10822300976e-18	1.60707745227e-17
3321.796767	3.32387548084e-18	3.32387548084e-18	1.68244284037e-17
3321.99675048	3.32387548084e-18	3.32387548084e-18	1.72066922861e-17
3322.19673396	2.6525123786e-18	2.6525123786e-18	1.61085629516e-17
3322.39671743	2.6525123786e-18	2.6525123786e-18	1.59126637148e-17
3322.59670091	3.32387548084e-18	3.32387548084e-18	1.65101236791e-17
3322.79668439	3.32387548084e-18	3.32387548084e-18	1.55410250544e-17
3322.99666786	3.32387548084e-18	3.32387548084e-18	1.49910924329e-17
3323.19665134	2.6525123786e-18	2.6525123786e-18	1.44902792621e-17
3323.39663482	2.10822300976e-18	2.10822300976e-18	1.53528851963e-17
3323.5966183	2.10822300976e-18	2.10822300976e-18	1.55388787327e-17
3323.79660177	1.71125687626e-18	1.71125687626e-18	1.60352825161e-17
3323.99658525	1.71125687626e-18	1.71125687626e-18	1.66581839479e-17
3324.19656873	1.71125687626e-18	1.71125687626e-18	1.6210798187e-17
3324.39655221	1.4615156184e-18	1.4615156184e-18	1.66385765868e-17
3324.59653568	1.4615156184e-18	1.4615156184e-18	1.66751964557e-17
3324.79651916	1.4615156184e-18	1.4615156184e-18	1.67657273058e-17
3324.99650264	1.4615156184e-18	1.4615156184e-18	1.50275903499e-17
3325.19648611	1.4615156184e-18	1.4615156184e-18	1.51275742783e-17
3325.39646959	1.71125687626e-18	1.71125687626e-18	1.65183977021e-17
3325.59645307	1.9032376567e-18	1.9032376567e-18	1.54832364093e-17
3325.79643655	1.9032376567e-18	1.9032376567e-18	1.56734336335e-17
3325.99642002	1.71125687626e-18	1.71125687626e-18	1.60354509861e-17
3326.1964035	1.71125687626e-18	1.71125687626e-18	1.6127414555e-17
3326.39638698	1.4615156184e-18	1.4615156184e-18	1.56215273808e-17
3326.59737037	1.4615156184e-18	1.4615156184e-18	1.54627608795e-17
3326.79735385	1.4615156184e-18	1.4615156184e-18	1.67002154816e-17
3326.99733733	1.46142832013e-18	1.46142832013e-18	1.57136639539e-17
3327.19732081	1.46142832013e-18	1.46142832013e-18	1.58541217738e-17
3327.39730428	1.71125687626e-18	1.71125687626e-18	1.66135239186e-17
3327.59728776	1.9032376567e-18	1.9032376567e-18	1.54678471444e-17
3327.79727124	1.71125687626e-18	1.71125687626e-18	1.48580230348e-17
3327.99725472	1.71125687626e-18	1.71125687626e-18	1.50289506869e-17
3328.1972382	1.71125687626e-18	1.71125687626e-18	1.5059926499e-17
3328.39722167	1.71125687626e-18	1.71125687626e-18	1.55246350163e-17
3328.59720515	1.46142832013e-18	1.46142832013e-18	1.57002235617e-17
3328.79718863	1.18216418855e-18	1.18216418855e-18	1.58897354602e-17
3328.99717211	1.18216418855e-18	1.18216418855e-18	1.5597586395e-17
3329.19715558	1.18216418855e-18	1.18216418855e-18	1.55617747862e-17
3329.39713906	1.46142832013e-18	1.46142832013e-18	1.40185987223e-17
3329.59712254	1.71125687626e-18	1.71125687626e-18	1.4827602406e-17
3329.79710602	1.46142832013e-18	1.46142832013e-18	1.38033956605e-17
3329.9970895	1.18216418855e-18	1.18216418855e-18	1.38900174516e-17
3330.19707297	1.18216418855e-18	1.18216418855e-18	1.52114031273e-17
3330.39705645	1.18216418855e-18	1.18216418855e-18	1.60593570634e-17
3330.59703993	3.87137542104e-19	3.87137542104e-19	1.58772130021e-17
3330.79702341	1.18216418855e-18	1.18216418855e-18	1.57373271382e-17
3330.99700688	1.18216418855e-18	1.18216418855e-18	1.52191866893e-17
3331.19699036	3.87137542104e-19	3.87137542104e-19	1.49523427847e-17
3331.39697384	-1.95937202221e-18	-1.95937202221e-18	1.49614854003e-17
3331.59695732	3.87137542104e-19	3.87137542104e-19	1.51302279238e-17
3331.7969408	-2.72188410036e-19	-2.72188410036e-19	1.49632432125e-17
3331.99692427	-2.72188410036e-19	-2.72188410036e-19	1.47887011924e-17
3332.19690775	-2.72188410036e-19	-2.72188410036e-19	1.52418273586e-17
3332.39789115	-2.72188410036e-19	-2.72188410036e-19	1.43401177432e-17
3332.59787463	-1.95937202221e-18	-1.95937202221e-18	1.42007679585e-17
3332.7978581	-1.95937202221e-18	-1.95937202221e-18	1.42066660354e-17
3332.99784158	-2.72188410036e-19	-2.72188410036e-19	1.51010092552e-17
3333.19782506	-2.72188410036e-19	-2.72188410036e-19	1.45311503158e-17
3333.39780854	-4.90444964955e-19	-4.90444964955e-19	1.38102474355e-17
3333.59779202	-4.90444964955e-19	-4.90444964955e-19	1.43017115149e-17
3333.7977755	-1.95937202221e-18	-1.95937202221e-18	1.52483468192e-17
3333.99775897	-1.95937202221e-18	-1.95937202221e-18	1.47717307588e-17
3334.19774245	-2.30598461907e-18	-2.30598461907e-18	1.44340321635e-17
3334.39772593	-2.71484201555e-18	-2.71484201555e-18	1.50344342034e-17
3334.59770941	-2.71484201555e-18	-2.71484201555e-18	1.47242443612e-17
3334.79769289	-2.71484201555e-18	-2.71484201555e-18	1.40994642294e-17
3334.99767636	-2.30598461907e-18	-2.30598461907e-18	1.41515508505e-17
3335.19765984	-2.30598461907e-18	-2.30598461907e-18	1.48829569858e-17
3335.39764332	-2.71484201555e-18	-2.71484201555e-18	1.48635613827e-17
3335.5976268	-2.71484201555e-18	-2.71484201555e-18	1.38464367104e-17
3335.79761028	-2.71484201555e-18	-2.71484201555e-18	1.44698347985e-17
3335.99759376	-2.30598461907e-18	-2.30598461907e-18	1.36453371074e-17
3336.19757724	-1.95937202221e-18	-1.95937202221e-18	1.44649043767e-17
3336.39756071	-1.79252357586e-18	-1.79252357586e-18	1.42097125737e-17
3336.59754419	-1.69760824634e-18	-1.69760824634e-18	1.46147333893e-17
3336.79752767	-1.69760824634e-18	-1.69760824634e-18	1.31341396378e-17
3336.99751115	-1.69760824634e-18	-1.69760824634e-18	1.41336678371e-17
3337.19749463	-4.90444964955e-19	-4.90444964955e-19	1.38511585118e-17
3337.39747811	-1.69760824634e-18	-1.69760824634e-18	1.3089480378e-17
3337.59746158	-1.76726257043e-18	-1.76726257043e-18	1.30618135746e-17
3337.79744506	-1.79252357586e-18	-1.79252357586e-18	1.34694577542e-17
3337.99742854	-1.76726257043e-18	-1.76726257043e-18	1.35249246e-17
