#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
6000.16769124	1.12511742335e-17	1.12473412535e-17	5.25187504064e-18
6000.36767509	1.02288455952e-17	1.02255856851e-17	5.31864375078e-18
6000.56765893	1.02288455952e-17	1.02255856851e-17	5.27346242631e-18
6000.76764277	1.12511742335e-17	1.12473412535e-17	5.28007855826e-18
6000.96762662	1.17326467939e-17	1.1726040685e-17	5.29878403975e-18
6001.16761046	1.17390374125e-17	1.17293582299e-17	5.28718523702e-18
6001.36859423	1.18840954116e-17	1.18784329238e-17	5.26677921657e-18
6001.56857807	1.17390374125e-17	1.17293582299e-17	5.34992109858e-18
6001.76856191	1.17390374125e-17	1.17293582299e-17	5.37315628676e-18
6001.96854576	1.17326467939e-17	1.1726040685e-17	5.27897152999e-18
6002.1685296	1.17326467939e-17	1.1726040685e-17	5.19172401664e-18
6002.36851344	1.17390374125e-17	1.17293582299e-17	5.23485127783e-18
6002.56849729	1.17390374125e-17	1.17293582299e-17	5.24807910248e-18
6002.76848113	1.17390374125e-17	1.17293582299e-17	5.2553210214e-18
6002.96846498	1.18840954116e-17	1.18784329238e-17	5.16518123382e-18
6003.16844882	1.17390374125e-17	1.17293582299e-17	5.17108038787e-18
6003.36843267	1.12511742335e-17	1.12473412535e-17	5.21954745616e-18
6003.56841651	1.12511742335e-17	1.12473412535e-17	5.1637170517e-18
6003.76840035	1.12511742335e-17	1.12473412535e-17	5.23546470931e-18
6003.9683842	1.12511742335e-17	1.12473412535e-17	5.35802505514e-18
6004.16836804	1.06778572083e-17	1.06733059037e-17	5.61020393434e-18
6004.36835189	1.03099803697e-17	1.03065378053e-17	5.99587040718e-18
6004.56833573	1.03099803697e-17	1.03065378053e-17	6.22337237619e-18
6004.76831958	1.03099803697e-17	1.03065378053e-17	5.77071936728e-18
6004.96830342	1.03099803697e-17	1.03065378053e-17	5.67546576015e-18
6005.16828726	1.03099803697e-17	1.03065378053e-17	5.47509380412e-18
6005.36827111	1.06778572083e-17	1.06733059037e-17	5.27368117891e-18
6005.56825495	1.06778572083e-17	1.06733059037e-17	5.23110781821e-18
6005.7682388	1.06778572083e-17	1.06733059037e-17	5.35122658166e-18
6005.96822264	1.06778572083e-17	1.06733059037e-17	5.2601995809e-18
6006.16820649	1.06778572083e-17	1.06733059037e-17	5.44019450443e-18
6006.36919025	1.03099803697e-17	1.03065378053e-17	5.37976916059e-18
