"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29527","2017-08-18 23:16:48.00","2457984.47","","VLT-UT2","X-Shooter","Service","Jonatan Selsing","","Y","","","AT2017gfo_2017-08-18_23-16-48_VLT-UT2_X-Shooter_None.dat","","Object","","","Air","Angstrom","1","Other","","2400","1","","","","","","","3467.8944042785","24794.82983","0.40562469903232","Pian et al. 2017","2017Natur.551...67P","[Data obtained from:Elena Pian] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29521","2017-08-18 23:19:11.00","2457984.4716551","","ESO-NTT","EFOSC2-NTT","Joe Lyman, David Homan","Kate Maguire","ePESSTO","N","ePESSTO","2100-01-01","2017gfo_2017-08-18_23-19-11_ESO-NTT_EFOSC2-NTT_ePESSTO.asci","2017gfo_2017-08-18_23-19-11_ESO-NTT_EFOSC2-NTT_ePESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","2700","1.5","","1.385","","Gr16","OG530","","5923.0773992275","9877.5034554323","4.1625537433735","","",""," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29528","2017-08-18 23:19:11.00","2457984.4716551","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-18_23-19-11_ESO-NTT_EFOSC2-NTT_None.dat","","Object","","","Air","Angstrom","1","Other","","0","1.5","","","","Gr#11+16","","","3300.0996292989","9877.7763893359","4.0329103372391","Smartt et al. 2017","2017Natur.551...75S","[Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","51193","2017-08-18 23:27:25.00","2457984.4773727","","VLT-UT2","X-Shooter","Unknown","Jonatan Selsing, James Gillanders","","Y","","","2017gfo_2017-08-18_23-27-25.262_VLT-UT2_X-Shooter_None.dat","","Object","High","None","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","Photometry","2400","","","","","","","","3268.3198634644","22283.419068535","0.3578369785858","Pian et al. 2017","2017Natur.551...67P","This is a re-reduction of the spectra originally published in Pian et al. 2017. The spectrum has been flux-corrected and smoothed. See http://www.engrave-eso.org for more information.","Mr James Gillanders","2019-02-26 18:11:35"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29522","2017-08-19 00:20:12.00","2457984.5140278","","ESO-NTT","EFOSC2-NTT","Joe Lyman, David Homan","Kate Maguire","ePESSTO","N","ePESSTO","2100-01-01","2017gfo_2017-08-19_00-20-12_ESO-NTT_EFOSC2-NTT_ePESSTO.asci","2017gfo_2017-08-19_00-20-12_ESO-NTT_EFOSC2-NTT_ePESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","2700","1.5","","1.835","","Gr11","Free","","3293.8354407547","7378.972664534","4.0406896377639","","",""," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29529","2017-08-19 22:48:00.00","2457985.45","","Gemini-S","GMOS-S","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-19_22-48-00_Gemini-S_GMOS-S_None.dat","AT2017gfo_2017-08-19_22-48-00_Gemini-S_GMOS-S_None.fits","Object","","","Air","Angstrom","1","Other","","600","0","","","","","","","5546.2018421313","9111.6173120729","0.49512782529393","Pian et al. 2017","2017Natur.551...67P","[Data obtained from:Elena Pian] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29523","2017-08-19 23:25:40.00","2457985.4761574","","ESO-NTT","EFOSC2-NTT","David Homan, Joe Lyman","Kate Maguire","ePESSTO","N","ePESSTO","2100-01-01","2017gfo_2017-08-19_23-25-40_ESO-NTT_EFOSC2-NTT_ePESSTO.asci","2017gfo_2017-08-19_23-25-40_ESO-NTT_EFOSC2-NTT_ePESSTO.fits","Object","Low","","Air","Angstrom","1","Other","","2700","1.5","","1.441","","Gr16","OG530","","5922.0870060414","9876.5130622462","4.1625537433735","","",""," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29530","2017-08-19 23:25:40.00","2457985.4761574","","ESO-NTT","EFOSC2-NTT","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-19_23-25-40_ESO-NTT_EFOSC2-NTT_None.dat","","Object","","","Air","Angstrom","1","Other","","0","1.5","","","","Gr#11+16","","","3298.8493062605","9876.1273459938","4.0351399016769","Smartt et al. 2017","2017Natur.551...75S","[Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29531","2017-08-19 23:28:46.00","2457985.4783102","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-19_23-28-46_VLT-UT2_X-Shooter_None.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","","","","3664.5538278697","22574.527087254","0.50900307553993","Smartt et al. 2017","2017Natur.551...75S","[Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
"9596","2017gfo","","197.450371","-23.381486","Kilonova","0.0097","29532","2017-08-19 23:28:46.00","2457985.4783102","","VLT-UT2","X-Shooter","Unknown","Unknown","","Y","","","AT2017gfo_2017-08-19_23-28-46_VLT-UT2_X-Shooter_None_0.dat","","Object","","","Air","Angstrom","1","Other","","0","1","","","","","","","3664.5538278697","22574.527087254","0.50900307553993","Smartt et al. 2017","2017Natur.551...75S","Dereddened with Milky Way extinction. [Data obtained from:Stephen Smartt] [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]"," Migration From WISeREP1.0","2017-08-19 12:34:49"
