MJD,Date,g,r,i,z
58287.15,2018-06-18,13.4,13.8,14.1,14.32
58288.2,2018-06-19,13.65,14.1,14.4,14.67
58289.17,2018-06-20,14.06,14.3,14.8,15.01
58290.02,2018-06-21,14.58,14.63,14.97,15.09
58290.08,2018-06-21,14.45,14.6,14.9,15.08
58290.97,2018-06-21,15.02,15.06,15.33,15.49
58291.2,2018-06-22,14.92,15.1,15.3,15.49
58291.98,2018-06-22,15.24,15.32,15.51,15.62
58292.1,2018-06-23,15.07,15.2,15.4,15.54
58292.96,2018-06-23,15.43,15.52,15.66,15.76
58293.12,2018-06-24,15.28,15.5,15.6,15.74
58293.97,2018-06-24,15.65,15.69,15.82,15.45
58294.13,2018-06-25,15.45,15.6,15.7,15.77
58294.95,2018-06-25,15.9,15.97,16.07,16.12
58295.19,2018-06-26,15.75,15.9,16.1,16.12
58295.95,2018-06-26,16.06,16.14,16.23,16.24
58296.15,2018-06-27,15.92,16.1,16.2,16.27
58296.98,2018-06-27,16.19,16.28,16.36,16.35
58297.09,2018-06-28,16,16.2,16.3,16.34
58297.97,2018-06-28,16.27,16.38,16.44,16.41
58298.18,2018-06-29,16.09,16.3,16.4,16.42
58298.95,2018-06-29,16.34,16.47,16.54,16.52
58299.96,2018-06-30,16.49,16.63,16.68,16.62
58300.98,2018-07-01,16.62,16.77,16.83,16.77
58301.97,2018-07-02,16.82,16.95,16.99,16.89
58302.98,2018-07-03,16.99,17.28,17.27,17.21
58303.9,2018-07-04,17.09,17.32,17.33,17.21
58305.9,2018-07-06,17.19,17.36,17.35,17.27
58306.9,2018-07-07,17.33,17.52,17.51,17.38
58307.91,2018-07-08,17.47,17.63,17.65,17.51
58308.89,2018-07-09,17.55,17.75,17.72,17.58
58309.91,2018-07-10,17.67,17.84,17.83,17.7
58310.91,2018-07-11,17.9,18.1,18.02,17.9
58311.9,2018-07-12,18.03,18.17,18.15,17.88
58312.91,2018-07-13,18.03,18.19,18.08,17.88
58313.91,2018-07-14,18.11,18.22,18.13,17.84
58314.93,2018-07-15,18.23,18.35,18.3,18.01
58315.94,2018-07-16,18.38,18.52,18.5,18.29
58316.9,2018-07-17,18.5,18.65,18.56,18.28
58317.95,2018-07-18,18.57,18.69,18.57,18.43
58321.93,2018-07-22,19,19.1,19.01,18.67
58322.88,2018-07-23,19.08,19.16,19.01,18.71
58324.89,2018-07-25,19.37,19.4,19.42,18.98
58325.88,2018-07-26,19.39,19.5,19.4,18.92
58326.92,2018-07-27,19.49,19.59,19.63,19.19
58327.93,2018-07-28,19.65,19.9,19.57,19.16
58328.93,2018-07-29,19.66,19.85,19.77,19.25
58329.93,2018-07-30,19.78,19.91,19.74,19.27
58330.9,2018-07-31,19.74,19.79,19.89,19.31
58334.88,2018-08-05,20.17,20.26,20.23,19.79
58339.9,2018-08-10,20.69,20.85,20.86,20.02
58346.91,2018-08-17,21.16,21.07,21.16,20.59
