Ascii file,MJD,JD,Phase
bbe_fluxcal_SN2018kzr_20181227_interp.dat,58479.87,2458480.37,2.448
bbe_fluxcal_SN2018kzr_20181228_interp.dat,58481.09,2458481.59,3.668
bbe_fluxcal_SN2018kzr_20181229_NTT13_1.dat,58482.317,2458482.817,4.895
bbe_fluxcal_SN2018kzr_20181230_NTT13_1.dat,58483.247,2458483.747,5.825
bbe_fluxcal_SN2018kzr_20181231_NTT11+16_c.dat,58484.172,2458484.672,6.75
bbe_fluxcal_SN2018kzr_20190101_interp.dat,58485.71,2458486.21,8.288
bbe_fluxcal_SN2018kzr_20190104_keck_1.dat,58487.478,2458487.978,10.056
bbe_fluxcal_SN2018kzr_20190103_salt_c.dat,58488.637,2458489.137,11.215
bbe_fluxcal_SN2018kzr_20190106_gmos_1.dat,58489.437,2458489.937,12.015
bbe_fluxcal_SN2018kzr_20190106_NTT13_1.dat,58490.316,2458490.816,12.894
bbe_fluxcal_SN2018kzr_20190107_interp.dat,58491.33,2458491.83,13.908
bbe_fluxcal_SN2018kzr_20190109_interp.dat,58492.34,2458492.84,14.918
bbe_fluxcal_SN2018kzr_20190110_interp.dat,58493.35,2458493.85,15.928
bbe_fluxcal_SN2018kzr_20190111_keck_1.dat,58494.356,2458494.856,16.934
