jd,ra_c,dec_c,tilename,limmag5,filter
2459478.3347222223,308.57142857142856,-25.714285714285623,T0863,20.44,L
2459478.336111111,343.1775700934579,8.571428571428456,T1722,20.44,L
2459478.3375,220.75471698113208,12.857142857142748,T1792,20.44,L
2459478.3388888887,346.41509433962267,12.857142857142748,T1829,20.44,L
2459478.340277778,333.0841121495327,-8.571428571428456,T1287,20.44,L
2459478.341666667,209.1891891891892,47.14285714285708,T2528,20.44,L
2459478.3430555556,233.33333333333334,-4.285714285714164,T1365,20.44,L
2459478.3444444444,298.72340425531917,-29.999999999999915,T0763,20.44,L
2459478.345833333,352.8712871287129,21.42857142857133,T2036,20.44,L
2459478.347222222,320.7920792079208,-21.42857142857133,T0967,20.44,L
2459478.3486111113,349.811320754717,12.857142857142748,T1830,20.44,L
2459478.35,340.0,-4.285714285714164,T1397,20.44,L
2459478.351388889,343.4862385321101,0.0,T1507,20.44,L
2459478.3527777777,236.66666666666669,-4.285714285714164,T1366,20.44,L
2459478.3541666665,4.864864864864865,47.14285714285708,T2486,20.44,L
2459478.355555556,302.5531914893617,-29.999999999999915,T0764,20.44,L
2459478.3569444446,324.35643564356434,-21.42857142857133,T0968,20.44,L
2459478.3583333334,242.2429906542056,-8.571428571428456,T1260,20.44,L
2459478.359722222,4.235294117647059,38.5714285714285,T2321,20.44,L
2459478.361111111,279.5744680851064,-29.999999999999915,T0758,20.44,L
2459478.3625,332.3076923076923,-17.14285714285704,T1074,20.44,L
2459478.363888889,237.7981651376147,0.0,T1475,20.44,L
2459478.365277778,319.59183673469386,-25.714285714285623,T0866,20.44,L
2459478.3666666667,327.9207920792079,-21.42857142857133,T0969,20.44,L
2459478.3680555555,260.1980198019802,-21.42857142857133,T0950,20.44,L
2459478.3694444443,350.0917431192661,0.0,T1509,20.44,L
2459478.370833333,0.0,17.14285714285704,T1833,20.44,L
2459478.3722222224,235.51401869158877,8.571428571428456,T1690,20.44,L
2459478.373611111,283.40425531914894,-29.999999999999915,T0759,20.44,L
2459478.375,234.33962264150944,12.857142857142748,T1796,20.44,L
2459478.376388889,331.4851485148515,-21.42857142857133,T0970,20.44,L
2459478.3777777776,350.0,-4.285714285714164,T1400,20.44,L
2459478.379166667,343.0188679245283,-12.857142857142748,T1183,20.44,L
2459478.3805555557,246.66666666666669,-4.285714285714164,T1369,20.44,L
2459478.3819444445,254.7169811320755,-12.857142857142748,T1157,20.44,L
2459478.3833333333,287.2340425531915,-29.999999999999915,T0760,20.44,L
2459478.384722222,17.704918032786885,55.714285714285666,T2630,20.44,L
2459478.386111111,335.0495049504951,-21.42857142857133,T0971,20.44,L
2459478.3875,267.3267326732673,-21.42857142857133,T0952,20.44,L
2459478.388888889,222.12765957446808,64.28571428571425,T2772,20.44,L
2459478.390277778,6.923076923076923,17.14285714285704,T1835,20.44,L
2459478.3916666666,247.70642201834863,0.0,T1478,20.44,L
2459478.3930555554,235.10204081632654,25.714285714285623,T2102,20.44,L
2459478.394444444,291.06382978723406,-29.999999999999915,T0761,20.44,L
2459478.3958333335,255.70093457943923,-8.571428571428456,T1264,20.44,L
2459478.3972222223,317.87234042553195,-29.999999999999915,T0768,20.44,L
2459478.398611111,3.3333333333333335,4.285714285714164,T1513,20.44,L
2459478.4,232.94117647058823,38.5714285714285,T2375,20.44,L
2459478.4013888887,14.693877551020408,25.714285714285623,T2042,20.44,L
